year,month,subscribe,gender,count
2014,2,0,40,M,0
2014,2,0,40,F,0
2014,2,0,40,NA,0
2014,2,0,50,M,0
2014,2,0,50,F,0
2014,2,0,50,NA,0
2014,2,0,60,M,0
2014,2,0,60,F,0
2014,2,0,60,NA,0
2014,2,0,70,M,0
2014,2,0,70,F,0
2014,2,0,70,NA,0
2014,2,0,>70,M,0
2014,2,0,>70,F,0
2014,2,0,>70,NA,0
2014,2,0,NA,M,0
2014,2,0,NA,F,0
2014,2,0,NA,NA,6717
2014,2,1,10,M,0
2014,2,1,10,F,0
2014,2,1,10,NA,0
2014,2,1,20,M,1065
2014,2,1,20,F,351
2014,2,1,20,NA,0
2014,2,1,30,M,41887
2014,2,1,30,F,11792
2014,2,1,30,NA,8
2014,2,1,40,M,58993
2014,2,1,40,F,13925
2014,2,1,40,NA,0
2014,2,1,50,M,40870
2014,2,1,50,F,7935
2014,2,1,50,NA,0
2014,2,1,60,M,24682
2014,2,1,60,F,5965
2014,2,1,60,NA,0
2014,2,1,70,M,8179
2014,2,1,70,F,1425
2014,2,1,70,NA,6
2014,2,1,>70,M,844
2014,2,1,>70,F,84
2014,2,1,>70,NA,0
2014,2,1,NA,M,6
2014,2,1,NA,F,2
2014,2,1,NA,NA,0
2014,3,0,10,M,0
2014,3,0,10,F,0
2014,3,0,10,NA,0
2014,3,0,20,M,0
2014,3,0,20,F,0
2014,3,0,20,NA,0
2014,3,0,30,M,0
2014,3,0,30,F,0
2014,3,0,30,NA,0
2014,3,0,40,M,0
2014,3,0,40,F,0
2014,3,0,40,NA,0
2014,3,0,50,M,0
2014,3,0,50,F,0
2014,3,0,50,NA,0
2014,3,0,60,M,0
2014,3,0,60,F,0
2014,3,0,60,NA,0
2014,3,0,70,M,0
2014,3,0,70,F,0
2014,3,0,70,NA,0
2014,3,0,>70,M,0
2014,3,0,>70,F,0
2014,3,0,>70,NA,0
2014,3,0,NA,M,0
2014,3,0,NA,F,0
2014,3,0,NA,NA,22882
2014,3,1,10,M,0
2014,3,1,10,F,0
2014,3,1,10,NA,0
2014,3,1,20,M,1960
2014,3,1,20,F,610
2014,3,1,20,NA,11
2014,3,1,30,M,74228
2014,3,1,30,F,24402
2014,3,1,30,NA,30
2014,3,1,40,M,111228
2014,3,1,40,F,29026
2014,3,1,40,NA,0
2014,3,1,50,M,78247
2014,3,1,50,F,16707
2014,3,1,50,NA,0
2014,3,1,60,M,47736
2014,3,1,60,F,11670
2014,3,1,60,NA,0
2014,3,1,70,M,15385
2014,3,1,70,F,2942
2014,3,1,70,NA,3
2014,3,1,>70,M,1761
2014,3,1,>70,F,265
2014,3,1,>70,NA,0
2014,3,1,NA,M,22
2014,3,1,NA,F,2
2014,3,1,NA,NA,0
2014,4,0,10,M,0
2014,4,0,10,F,0
2014,4,0,10,NA,0
2014,4,0,20,M,0
2014,4,0,20,F,0
