id,name,lat,long,nbBikes,nbEmptyDocks,installed,locked,temporary,public
256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,38.856319,-77.11153,6,9,true,false,false,true
257,Pershing & N George Mason Dr,38.871822,-77.107906,7,4,true,false,false,true
258,Fenton St & New York Ave ,38.985404,-77.023082,6,8,true,false,false,true
259,Bethesda Ave & Arlington Rd,38.981103,-77.097426,10,7,true,false,false,true
260,Montgomery Ave & Waverly St ,38.983838,-77.09221,5,6,true,false,false,true
261,Fallsgrove Blvd & Fallsgrove Dr,39.096312,-77.192672,6,13,true,false,false,true
262,Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501,13,6,true,false,false,true
263,Norfolk Ave & Fairmont St,38.988562,-77.096539,4,7,true,false,false,true
264,E Montgomery Ave & Maryland Ave,39.084125,-77.151291,11,4,true,false,false,true
265,Cordell & Norfolk Ave,38.98954,-77.098029,6,5,true,false,false,true
266,Frederick Ave & Horners Ln,39.094772,-77.145213,3,8,true,false,false,true
267,Philadelphia & Maple Ave,38.98128,-77.011336,7,8,true,false,false,true
268,Maple & Ritchie Ave,38.983627,-77.006311,9,10,true,false,false,true
269,Silver Spring Metro/Colesville Rd & Wayne Ave,38.99521,-77.02918,9,9,true,false,false,true
270,Montgomery & East Ln,38.983525,-77.095367,6,5,true,false,false,true
271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998,5,14,true,false,false,true
272,14th & Belmont St NW,38.921074,-77.031887,5,10,true,false,false,true
273,3rd & Tingey St SE,38.87501,-77.0024,7,12,true,false,false,true
274,10th & Florida Ave NW,38.920387,-77.025672,11,8,true,false,false,true
275,Potomac Ave & 8th St SE,38.876737,-76.994468,5,9,true,false,false,true
276,Crabbs Branch Way & Redland Rd,39.120045,-77.156985,8,7,true,false,false,true
277,Fallsgrove Dr & W Montgomery Ave,39.099376,-77.188014,11,4,true,false,false,true
278,Monroe St & Monroe Pl,39.083673,-77.149162,10,5,true,false,false,true
279,Needwood Rd & Eagles Head Ct,39.123513,-77.15741,4,11,true,false,false,true
280,East West Hwy & Blair Mill Rd,38.990249,-77.02935,9,6,true,false,false,true
281,Crabbs Branch Way & Calhoun Pl,39.107709,-77.152072,10,5,true,false,false,true
282,47th & Elm St,38.982456,-77.091991,8,5,true,false,false,true
283,Garland Ave & Walden Rd,39.000578,-77.00149,7,8,true,false,false,true
284,Montgomery College/W Campus Dr & Mannakee St,39.095661,-77.159048,13,8,true,false,false,true
285,Fenton St & Gist Ave,38.989724,-77.023854,5,6,true,false,false,true
286,Carroll & Westmoreland Ave,38.975,-77.01121,7,8,true,false,false,true
287,Carroll & Ethan Allen Ave,38.977933,-77.006472,8,7,true,false,false,true
288,Battery Ln & Trolley Trail,38.992375,-77.100104,6,9,true,false,false,true
289,Norfolk & Rugby Ave,38.990639,-77.100239,7,4,true,false,false,true
290,Offutt Ln & Chevy Chase Dr,38.977093,-77.094589,6,5,true,false,false,true
291,Broschart & Blackwell Rd,39.102099,-77.200322,7,8,true,false,false,true
292,Taft St & E Gude Dr,39.094103,-77.132954,7,7,true,false,false,true
293,Fleet St & Ritchie Pkwy,39.076331,-77.141378,6,9,true,false,false,true
294,Piccard & W Gude Dr,39.102212,-77.177091,13,6,true,false,false,true
295,Ripley & Bonifant St,38.992679,-77.029457,6,9,true,false,false,true
296,Georgia Ave & Spring St,38.999388,-77.031555,6,5,true,false,false,true
297,Fenton St & Ellsworth Dr ,38.997033,-77.025608,5,9,true,false,false,true
298,King Farm Blvd & Pleasant Dr,39.114688,-77.171487,12,6,true,false,false,true
299,King Farm Blvd & Piccard Dr,39.110314,-77.182669,6,9,true,false,false,true
301,Calvert St & Woodley Pl NW,38.923583,-77.050046,6,13,true,false,false,true
302,New Jersey Ave & N St NW/Dunbar HS,38.90706,-77.015231,6,12,true,false,false,true
303,Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862,5,6,true,false,false,true
304,Deanwood Rec Center,38.908473,-76.933099,8,7,true,false,false,true
305,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,5,11,true,false,false,true
306,Arlington Blvd & Fillmore St,38.873755,-77.089233,5,5,true,false,false,true
307,Long Bridge Park/Long Bridge Dr & 6th St S,38.86646,-77.04826,6,5,true,false,false,true
308,Old Georgetown Rd & Southwick St,38.999634,-77.109647,9,10,true,false,false,true
309,Friendship Blvd & Willard Ave,38.96115,-77.088659,11,8,true,false,false,true
310,North Capitol St & G Pl NE,38.899703,-77.008911,14,5,true,false,false,true
311,31st & Woodrow St S,38.837666,-77.09482,4,7,true,false,false,true
312,Washington Blvd & Walter Reed Dr ,38.873219,-77.082104,8,6,true,false,false,true
313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596,4,11,true,false,false,true
314,Connecticut Ave & Tilden St NW,38.941154,-77.062036,3,12,true,false,false,true
315,Medical Center Dr & Key West Ave,39.103091,-77.196442,9,6,true,false,false,true
316,Shady Grove Hospital,39.097636,-77.196636,8,11,true,false,false,true
317,Veterans Pl & Pershing Dr ,38.997445,-77.023894,6,5,true,false,false,true
318,Rockville Metro East,39.085394,-77.145803,10,3,true,false,false,true
319,1st & H St NW,38.900358,-77.012108,8,6,true,false,false,true
320,Fort Totten Metro,38.952369,-77.002721,6,13,true,false,false,true
321,Takoma Metro,38.975219,-77.016855,9,9,true,false,false,true
322,Rhode Island Ave Metro,38.920682,-76.995876,1,18,true,false,false,true
323,Rolfe St & 9th St S,38.866471,-77.076131,5,6,true,false,false,true
324,Shirlington Transit Center / S Quincy & Randolph St,38.839912,-77.087083,7,8,true,false,false,true
325,Shady Grove Metro West,39.119765,-77.166093,11,8,true,false,false,true
326,River Rd & Landy Ln,38.964992,-77.103381,9,10,true,false,false,true
327,Rockville Metro West,39.084379,-77.146866,7,12,true,false,false,true
328,Bethesda Metro,38.984691,-77.094537,8,4,true,false,false,true
329,Iwo Jima Memorial/N Meade & 14th St N,38.88992,-77.071301,6,13,true,false,false,true
330,33rd & Water St NW,38.903295,-77.065884,7,12,true,false,false,true
331,Duke St & John Carlyle St,38.804378,-77.060866,12,3,true,false,false,true
332,Lee Hwy & N Cleveland St,38.894941,-77.09169,8,7,true,false,false,true
333,Arlington Blvd & S George Mason Dr/NFATC,38.869442,-77.104503,6,5,true,false,false,true
334,MLK Library/9th & G St NW,38.898404,-77.024281,8,15,true,false,false,true
335,Lee Hwy & N Scott St,38.897612,-77.080851,8,7,true,false,false,true
336,New Hampshire Ave & 24th St NW,38.901755,-77.051084,6,12,true,false,false,true
337,Eisenhower Ave & Mill Race Ln,38.801111,-77.068952,6,8,true,false,false,true
338,Potomac Greens Dr & Slaters Ln,38.82175,-77.047494,7,4,true,false,false,true
339,Ballenger Ave & Dulaney St,38.802677,-77.063562,7,12,true,false,false,true
340,Mount Vernon Ave & E Nelson Ave,38.820064,-77.057619,6,4,true,false,false,true
341,Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541,8,7,true,false,false,true
342,Monroe Ave & Leslie Ave,38.820932,-77.053096,9,6,true,false,false,true
343,Mount Vernon Ave & Kennedy St,38.833077,-77.059821,7,8,true,false,false,true
344,Court House Metro / 15th & N Uhle St ,38.890612,-77.084801,6,15,true,false,false,true
345,Washington Adventist U / Flower Ave & Division St,38.986743,-77.000035,6,9,true,false,false,true
346,6th & S Ball St,38.864702,-77.048672,6,9,true,false,false,true
347,McKinley St & Connecticut Ave NW,38.96497,-77.075946,7,12,true,false,false,true
348,15th & L St NW,38.90366,-77.034846,11,11,true,false,false,true
349,17th & G St NW,38.89841,-77.039624,10,19,true,false,false,true
350,Spring St & Second Ave,38.997653,-77.034499,6,9,true,false,false,true
351,18th & R St NW,38.912648,-77.041834,9,8,true,false,false,true
352,S Joyce & 16th St S,38.859254,-77.063275,7,8,true,false,false,true
353,Union Market/6th St & Neal Pl NE,38.908008,-76.996985,7,15,true,false,false,true
354,Lee Hwy & N Monroe St,38.896456,-77.104562,10,5,true,false,false,true
355,21st St N & N Pierce St,38.898984,-77.078317,8,7,true,false,false,true
356,Lee Hwy & N Kirkwood Rd,38.895377,-77.09713,8,7,true,false,false,true
357,19th & G St NW,38.898412,-77.043182,12,11,true,false,false,true
359,Wilson Blvd & N Illinois St ,38.876528,-77.12712,9,6,true,false,false,true
364,Army Navy Dr & S Nash St,38.862467,-77.068242,4,7,true,false,false,true
